ticker,pcd,year,runup,window
ACAD,2024-04-30,2024,-0.1550405773222634,-0.1416769664427462
ACAD,2021-10-28,2021,0.15493483139793573,0.3699256942005107
ACAD,2019-07-31,2019,-0.18241604424678215,0.624745156873499
ACAD,2022-05-06,2022,-0.09559143838893513,-0.28765546581609724
ACAD,2025-10,2025,-0.17849055361842403,-0.18862711311082503
ACAD,2023-05-05,2023,0.022657359775437147,0.11219134889882465
ACAD,2018-05-30,2018,-0.006942039297836988,-0.14749423346793789
ACAD,2021-02-22,2021,-0.202320558948907,-0.6451733814784886
ACAD,2024-09-27,2024,-0.024305390141715844,0.059137335057775076
ACAD,2020-04-30,2020,0.08867920710728905,-0.1933740331609375
ACAD,2023-05-31,2023,0.19305440790928996,0.20054004110683543
OPK,2020-03-06,2020,0.04743537077208021,0.408063767003694
OPK,2019-08,2019,0.08162106185421258,0.09016595433844199
OPK,2024-06-19,2024,-0.015505535801714154,0.10353586358392713
AKBA,2021-11-26,2021,0.012798646124271063,-0.024995146620422792
AKBA,2020-01-16,2020,0.44828813136231593,0.019688200670277878
AKBA,2020-01-31,2020,0.3800741219298611,0.1044591979559506
AKBA,2023-01-06,2023,0.5433836899523169,0.7645915966036291
AKBA,2020-06-04,2020,0.32134561032812936,-0.15055036980234382
AKBA,2020-06-18,2020,0.2568553765423607,-0.13279434563884918
AKBA,2018-02-12,2018,-0.18052403629392577,-0.3450491861390024
OTLC,2017-04,2017,0.5245242446750376,-0.41923196442045824
OTLC,2017-10,2017,0.14489924664733267,-0.6861853263681634
BCRX,2024-09-11,2024,0.10836246258359372,-0.10284967693143843
BCRX,2019-04-10,2019,-0.10055407468938293,-0.7914941024080615
BCRX,2018-04,2018,0.0734866772497349,0.16419126838481746
BCRX,2019-10-28,2019,-0.2667866894628541,0.06826735528050465
BCRX,2021-07-08,2021,0.004884463264023253,0.02095018373341251
BCRX,2022-04-27,2022,-0.5398007902398909,0.14483885676024721
VNDA,2018-11-19,2018,0.2080514970375975,0.23363926488389408
VNDA,2019-12-27,2019,0.05332648138807583,-0.3255960693696376
VNDA,2020-10-14,2020,-0.11122901205700808,0.07436096771437928
VNDA,2024-04-06,2024,-0.0738176447109089,0.24198950289522148
VNDA,2025-06-30,2025,-0.03375369607191803,-0.05257842712628946
VNDA,2022-09-07,2022,-0.1217734062169602,0.02018395891267133
VNDA,2018-03-05,2018,0.24227924276941515,-0.22810921690973984
VNDA,2024-12-05,2024,0.041456666198724346,-0.051851193011012375
VNDA,2025-12,2025,-0.1850741382720582,0.36390711263326025
VNDA,2023-04-01,2023,0.0828372674773139,-0.2493859016015918
VNDA,2023-08-17,2023,-0.029912674989737154,-0.2198588329110025
VNDA,2025-07,2025,0.004683373425566906,-0.0600138630942062
VNDA,2020-08-01,2020,-0.12399949051085501,-0.10350902061891354
VNDA,2025-02-21,2025,0.0026696623583370993,0.07329589410523707
VNDA,2024-07-12,2024,0.030977080212756247,-0.13994858120064047
KPTI,2020-02-18,2020,-0.09363762171039358,0.2998349048842419
KPTI,2022-01-22,2022,0.31624198507111245,-0.05695449793002272
KPTI,2026-02-20,2026,-0.006080926234859119,0.0928969931103969
KPTI,2020-10-28,2020,-0.11537314415976851,-0.1766097372321065
PTCT,2018-01-19,2018,0.14923058520667887,0.3470761600851615
PTCT,2022-03-05,2022,-0.02934670865194411,0.1582494048598062
PTCT,2017-06-02,2017,0.14494083967900595,0.38365131378613215
PTCT,2023-04-03,2023,0.10037247169726715,-0.17432526194149833
PTCT,2017-06-05,2017,0.1536891999524248,0.3467472686991977
PTCT,2023-03-18,2023,0.11874874973339455,0.08652311107394217
PTCT,2018-06-12,2018,0.2561627973770153,0.11272447453622503
PTCT,2021-07-31,2021,0.026772669485824796,-0.08314926856440863
PTCT,2025-04-15,2025,0.05523361167568197,0.029657173276267823
PTCT,2026-02-10,2026,-0.05574851145478554,-0.08982004685046618
PTCT,2022-07-20,2022,0.17695764849298667,0.15359601985547222
PTCT,2024-06-17,2024,0.2538362072186975,-0.190732281517076
PTCT,2023-04-04,2023,0.13879547613487864,-0.1774201413073806
PTCT,2021-01-01,2021,-0.11481225870566725,-0.06261656279751371
BHC,2023-10-15,2023,0.07948744824445653,-0.2263627118828777
BHC,2020-05-12,2020,-0.12281041319061448,-0.16842713252747554
BHC,2017-05-01,2017,-0.26455085662833255,0.5415375824481199
BHC,2018-07-24,2018,0.019183741371386898,0.07775307007407406
BHC,2020-05-07,2020,-0.11463445073085232,-0.1319410231172613
BHC,2017-10-06,2017,-0.1441844740938527,0.2930704667734645
GILD,2017-03-21,2017,-0.16709231511751144,-0.0031130352073240886
GILD,2020-02-16,2020,0.0641268755311204,0.21019748775484315
GILD,2017-05-15,2017,-0.02419465694641776,-0.07793449830896959
GILD,2018-02-07,2018,0.004355594658572048,-0.030192682777908875
GILD,2020-10-05,2020,-0.0774626220725052,-0.20040050118610475
GILD,2023-08-11,2023,0.04280246708985658,0.12935047474292283
GILD,2021-03-18,2021,0.04453007900698358,0.189438799700008
GILD,2017-12-11,2017,-0.05261428619344066,0.003948402721317912
IMVT,2025-11-02,2025,0.017289422693773204,0.17324605065869036
IMVT,2026-02-03,2026,0.07155295240408277,-0.06342538784921237
IMVT,2026-04-02,2026,-0.06329090886971178,0.2076629493350679
IMVT,2025-01-10,2025,-0.05297494902837352,-0.1894395488282239
SPRO,2020-05-20,2020,0.1368996725720626,-0.0451983817845929
SPRO,2025-01-27,2025,-0.18041397008527874,0.08305276482049725
SMMT,2021-11-17,2021,0.07016624056880261,-0.5663698371632089
SMMT,2021-09-17,2021,-0.23524279790553848,-0.15071810271308173
SMMT,2025-04-12,2025,-0.02330843591055265,-0.015412016761179093
ARQT,2020-11-23,2020,-0.22075412159115437,0.036072150100112665
ARQT,2024-05-28,2024,-0.2201606367218898,-0.010000582654609236
ARQT,2022-06-03,2022,0.2072062152914782,-0.1837880992106804
ARQT,2023-06-01,2023,-0.43760172459601465,0.17877780342824234
ARQT,2022-08-30,2022,-0.07628317882487057,-0.37122114368408266
ARQT,2022-04-06,2022,0.1671304052515432,0.41227118536976093
ARQT,2024-01-22,2024,0.3810714857576071,0.9434739076375864
ARQT,2020-11-16,2020,-0.3956987359388018,0.19735790735439274
ARQT,2022-09-29,2022,-0.14424522315668753,-0.06658753745161627
ACHV,2025-09-29,2025,-0.047806086794459635,0.11793400370270057
ACHV,2023-03-21,2023,-0.005315734729644195,0.4843453386851364
ACHV,2021-12-23,2021,-0.045320725691903485,0.3125357935017383
CRNX,2024-01-20,2024,-0.041337111096926726,0.1557863984014567
CRNX,2023-07-10,2023,-0.18755184359148114,-0.02296264683926852
CYTK,2025-02-28,2025,0.03296982559869566,-0.08473213820510095
