trig,th,fam,exit,n,bps,t,win,y24,y25,y26,all_years_pos
cum,0.003,Lr,hold2,330,7.519068714000895,1.4943350027182944,0.5393939393939394,2.7296933304207402,2.298333731388013,22.74047650659187,True
cum,0.003,Lr,hold4,330,8.263893072486555,1.257248289484671,0.5060606060606061,1.392979985975487,2.3093892304741117,27.47961442888823,True
cum,0.003,Lr,holdEOD,330,11.781159019529111,1.6898494620923825,0.5393939393939394,7.475249537125023,5.997540268110681,27.32682791340986,True
cum,0.003,Lr,trail05,330,2.0322105843959375,0.318871222886571,0.4666666666666667,3.3004418710711847,0.8843921505889979,2.3215471913720975,True
cum,0.003,Lr,trail10,330,4.6855354896503165,0.6971167289558772,0.5151515151515151,5.811845941568817,2.890032428880473,6.267595242096418,True
cum,0.003,Sr,hold1,354,7.125176063394678,1.7421006674654091,0.4971751412429379,5.511755823825277,3.6247272130147423,13.940584671468121,True
cum,0.003,Sr,hold2,354,5.088759274323699,0.9965313982699826,0.4943502824858757,6.730059509135156,1.147015252974406,8.959440406774075,True
cum,0.003,Sr,hold4,354,6.1475548278655,0.9864224011438502,0.4915254237288136,6.152928208394154,2.191182473009896,11.838820300276053,True
cum,0.003,Sr,holdEOD,354,4.035014143489256,0.5381529316021362,0.4604519774011299,2.029762002348775,3.796680303697934,6.583992228043287,True
cum,0.003,Sr,trail05,354,5.223314854874797,0.767210513700776,0.4209039548022599,0.3772099506702141,1.4826479765072769,15.940590554349065,True
cum,0.003,Sr,trail10,354,5.397957064166146,0.7447949990035875,0.4604519774011299,0.6907464689704556,2.1474887669131935,15.256563066925656,True
cum,0.005,Lf,hold1,332,-6.683266515982575,-1.6990918645278628,0.4789156626506024,-5.734358549067479,-9.095849100703733,-4.080489092289798,False
cum,0.005,Lf,hold2,332,-5.96532777586318,-1.1780856913975508,0.4759036144578313,-10.24878792095228,-8.12685295633447,2.2987870018513132,False
cum,0.005,Lf,hold4,332,-5.771775636287075,-0.9334402403108675,0.49096385542168675,-8.359055139200242,-7.942485520419704,0.5463913894159488,False
cum,0.005,Lf,holdEOD,332,-3.524218715111796,-0.46367098649337246,0.5210843373493976,-3.9643170912226866,-9.732190946814384,6.503230163671429,False
cum,0.005,Lf,trail05,332,-6.80234024476178,-1.1879470217857697,0.4427710843373494,-6.6866913423933,-7.866536552584827,-5.304211304392243,False
cum,0.005,Lf,trail10,332,-3.6489146848701,-0.6020294503838515,0.4939759036144578,-5.371934895734261,-7.4518814182291955,4.173346549945767,False
cum,0.005,Sf,hold1,304,-8.807662668267328,-2.2213718822730404,0.4605263157894737,-8.185419653536414,2.0684633016883787,-26.648696538352088,False
cum,0.005,Sf,hold2,304,-5.682303448277448,-1.0273628689973688,0.4605263157894737,-7.945211139835236,6.317756157051081,-21.434417190945013,False
cum,0.005,Sf,hold4,304,-9.099486642739246,-1.3277928448366076,0.48355263157894735,-7.284294124274651,2.3984298950307674,-29.503664072588723,False
cum,0.005,Sf,holdEOD,304,-13.464840724023468,-1.8468601430946172,0.4407894736842105,-13.091894373471874,-2.0477532521866992,-31.819598314042075,False
cum,0.005,Sf,trail05,304,-17.27611862389461,-3.5663569202824132,0.3815789473684211,-14.90587278638261,-1.556877551356848,-45.022951674546604,False
cum,0.005,Sf,trail10,304,-17.443439082359234,-3.3141617789827786,0.4144736842105263,-14.177050866687837,-1.3446753870776618,-46.978740944592275,False
cum,0.005,Lr,hold1,304,8.807662668267328,2.2213718822730404,0.5361842105263158,8.185419653536414,-2.0684633016883787,26.648696538352088,False
cum,0.005,Lr,hold2,304,5.682303448277448,1.0273628689973688,0.5394736842105263,7.945211139835236,-6.317756157051081,21.434417190945013,False
cum,0.005,Lr,hold4,304,9.099486642739246,1.3277928448366076,0.5164473684210527,7.284294124274651,-2.3984298950307674,29.503664072588723,False
cum,0.005,Lr,holdEOD,304,13.464840724023468,1.8468601430946172,0.5526315789473685,13.091894373471874,2.0477532521866992,31.819598314042075,True
cum,0.005,Lr,trail05,304,1.9315475567026268,0.2874632931508532,0.4769736842105263,7.927442513484957,-5.5836380382729995,5.691542006467548,False
cum,0.005,Lr,trail10,304,5.391537888181449,0.7634055052109644,0.5263157894736842,10.670630820225337,-1.9724358170909078,9.87075746652329,False
cum,0.005,Sr,hold1,332,6.683266515982575,1.6990918645278628,0.5090361445783133,5.734358549067479,9.095849100703733,4.080489092289798,True
cum,0.005,Sr,hold2,332,5.96532777586318,1.1780856913975508,0.5180722891566265,10.24878792095228,8.12685295633447,-2.2987870018513132,False
cum,0.005,Sr,hold4,332,5.771775636287075,0.9334402403108675,0.5,8.359055139200242,7.942485520419704,-0.5463913894159488,False
cum,0.005,Sr,holdEOD,332,3.524218715111796,0.46367098649337246,0.46987951807228917,3.9643170912226866,9.732190946814384,-6.503230163671429,False
cum,0.005,Sr,trail05,332,6.591812746157454,0.9601571625136965,0.44879518072289154,2.609920428016359,9.611388173348315,6.563094880983396,True
cum,0.005,Sr,trail10,332,5.131924604917098,0.6984026052578246,0.46987951807228917,2.4403101205464663,7.631677592058742,4.409280095461529,True
cum,0.0075,Lf,hold1,286,-3.1428444318362736,-0.761631228664619,0.5034965034965035,-0.11332696923560048,-6.19809932264004,-2.2426450450581075,False
cum,0.0075,Lf,hold2,286,-2.351742194734209,-0.44047305919876406,0.4825174825174825,-5.789016002813097,-3.1646835021609085,2.3837308607210024,False
cum,0.0075,Lf,hold4,286,-2.4849799653824713,-0.3693480450202812,0.4965034965034965,-1.4587813439948394,-6.091254067402081,1.2790354658641598,False
cum,0.0075,Lf,holdEOD,286,0.058455185710215456,0.007044423761976477,0.5244755244755245,1.2016580852537266,-5.672976967701083,6.557345367568598,False
cum,0.0075,Lf,trail05,286,-3.9462416699812985,-0.6362725700434327,0.45104895104895104,-2.5781944609037426,-3.2307380060086763,-6.358243046609976,False
cum,0.0075,Lf,trail10,286,-0.617253449604397,-0.09416172503810669,0.5,-0.9859990428128638,-3.6076846261211997,3.7962832258950345,False
cum,0.0075,Sf,hold1,280,-9.283645766916354,-2.3544782885193443,0.45714285714285713,-8.829419356810728,0.6183256365802468,-25.23042029018285,False
cum,0.0075,Sf,hold2,280,-7.60046508293909,-1.3834757105614852,0.4642857142857143,-12.755958851212265,6.629356372274014,-23.374512845596495,False
cum,0.0075,Sf,hold4,280,-10.951319463006497,-1.5479552892044228,0.48214285714285715,-9.107129343164877,-0.0834538144547853,-30.108425550696154,False
cum,0.0075,Sf,holdEOD,280,-15.693762524654522,-2.0848281746388153,0.43214285714285716,-16.910879998059013,-4.182147431132265,-32.08670908783358,False
cum,0.0075,Sf,trail05,280,-18.858333730835387,-3.9834779180913547,0.3821428571428571,-17.105133876499096,-3.1089091215169202,-45.489752877000605,False
cum,0.0075,Sf,trail10,280,-19.953676610939752,-3.8606649897427876,0.4035714285714286,-18.10104693848007,-3.086523162759151,-48.44437859383974,False
cum,0.0075,Lr,hold1,280,9.283645766916354,2.3544782885193443,0.5285714285714286,8.829419356810728,-0.6183256365802468,25.23042029018285,False
cum,0.0075,Lr,hold2,280,7.60046508293909,1.3834757105614852,0.5321428571428571,12.755958851212265,-6.629356372274014,23.374512845596495,False
cum,0.0075,Lr,hold4,280,10.951319463006497,1.5479552892044228,0.5142857142857142,9.107129343164877,0.0834538144547853,30.108425550696154,True
cum,0.0075,Lr,holdEOD,280,15.693762524654522,2.0848281746388153,0.5607142857142857,16.910879998059013,4.182147431132265,32.08670908783358,True
cum,0.0075,Lr,trail05,280,2.7850936826963673,0.4025419433815504,0.475,10.34924150463381,-4.140143945139859,4.245429836816078,False
cum,0.0075,Lr,trail10,280,6.593504978589247,0.9013919441282593,0.5321428571428571,14.304061136842472,-0.3463288284408951,7.896481700311173,False
cum,0.0075,Sr,hold1,286,3.1428444318362736,0.761631228664619,0.48951048951048953,0.11332696923560048,6.19809932264004,2.2426450450581075,True
cum,0.0075,Sr,hold2,286,2.351742194734209,0.44047305919876406,0.513986013986014,5.789016002813097,3.1646835021609085,-2.3837308607210024,False
cum,0.0075,Sr,hold4,286,2.4849799653824713,0.3693480450202812,0.493006993006993,1.4587813439948394,6.091254067402081,-1.2790354658641598,False
cum,0.0075,Sr,holdEOD,286,-0.058455185710215456,-0.007044423761976477,0.46503496503496505,-1.2016580852537266,5.672976967701083,-6.557345367568598,False
cum,0.0075,Sr,trail05,286,2.648762917311265,0.35568825916527846,0.4370629370629371,-3.8186750938818346,5.351580986717633,5.865233645326342,False
cum,0.0075,Sr,trail10,286,2.270585329607406,0.2853177671129506,0.46153846153846156,-1.3114803901453687,3.4275184185884666,4.509518782025706,False
cum,0.01,Lf,hold1,252,-4.619800506637562,-1.0513389841007865,0.4642857142857143,-0.45025603451526375,-6.809298050696858,-5.664147368527739,False
cum,0.01,Lf,hold2,252,-2.288340329683688,-0.40455332610692185,0.47619047619047616,-2.614671103389026,-6.554786879325693,3.0971179333858347,False
cum,0.01,Lf,hold4,252,-2.3223206631404367,-0.32428113088234956,0.49206349206349204,-0.8254333752870288,-4.9080215597674774,-0.5464328199208619,False
cum,0.01,Lf,holdEOD,252,0.4059468652108868,0.045163405791821445,0.5238095238095238,3.4702425330057585,-4.779279020527738,3.912323069127403,False
cum,0.01,Lf,trail05,252,-4.306947915981414,-0.653173380542415,0.4444444444444444,1.2250985955910727,-4.52746566250721,-8.900809009563016,False
cum,0.01,Lf,trail10,252,-1.1345349439607846,-0.1622358651345508,0.49603174603174605,0.7488962427119498,-4.723849014894213,1.501388635442131,False
cum,0.01,Sf,hold1,245,-8.440055648401732,-1.9246014781955196,0.47346938775510206,-8.939433697477408,0.8947352493280296,-21.38091143467467,False
cum,0.01,Sf,hold2,245,-8.60510558393385,-1.431293790891674,0.4489795918367347,-15.128200140642145,5.143570058366171,-21.54663762216083,False
cum,0.01,Sf,hold4,245,-13.434220705113445,-1.7290001434970248,0.46938775510204084,-11.270870260588957,-5.688952873161203,-26.896506189713275,False
cum,0.01,Sf,holdEOD,245,-18.64786441451557,-2.24556580698365,0.4204081632653061,-19.344642850807716,-9.638442165929968,-30.910579311965954,False
cum,0.01,Sf,trail05,245,-21.201536722683482,-4.240223651687691,0.37142857142857144,-19.670355085224458,-8.954992594111614,-40.490228124936735,False
cum,0.01,Sf,trail10,245,-22.575285771427996,-4.12668046864339,0.39591836734693875,-20.017860746417767,-9.57762151115146,-44.032622087694975,False
cum,0.01,Lr,hold1,245,8.440055648401732,1.9246014781955196,0.5183673469387755,8.939433697477408,-0.8947352493280296,21.38091143467467,False
cum,0.01,Lr,hold2,245,8.60510558393385,1.431293790891674,0.5469387755102041,15.128200140642145,-5.143570058366171,21.54663762216083,False
cum,0.01,Lr,hold4,245,13.434220705113445,1.7290001434970248,0.5265306122448979,11.270870260588957,5.688952873161203,26.896506189713275,True
cum,0.01,Lr,holdEOD,245,18.64786441451557,2.24556580698365,0.5714285714285714,19.344642850807716,9.638442165929968,30.910579311965954,True
cum,0.01,Lr,trail05,245,4.244597882282829,0.5565267072209346,0.49387755102040815,11.170232926619105,-0.5990365371489152,3.9118847834502763,False
cum,0.01,Lr,trail10,245,9.13283617109506,1.1387973294635403,0.5428571428571428,16.708231042162705,5.511675338579608,6.349379365738697,True
cum,0.01,Sr,hold1,252,4.619800506637562,1.0513389841007865,0.5357142857142857,0.45025603451526375,6.809298050696858,5.664147368527739,True
cum,0.01,Sr,hold2,252,2.288340329683688,0.40455332610692185,0.5238095238095238,2.614671103389026,6.554786879325693,-3.0971179333858347,False
cum,0.01,Sr,hold4,252,2.3223206631404367,0.32428113088234956,0.503968253968254,0.8254333752870288,4.9080215597674774,0.5464328199208619,True
cum,0.01,Sr,holdEOD,252,-0.4059468652108868,-0.045163405791821445,0.4722222222222222,-3.4702425330057585,4.779279020527738,-3.912323069127403,False
cum,0.01,Sr,trail05,252,2.2562087300414957,0.27951916547926214,0.44841269841269843,-5.237827206784579,4.3610836440530045,6.320755630996974,False
cum,0.01,Sr,trail10,252,1.8138556209209153,0.21043347809853474,0.46825396825396826,-4.231733979358212,2.0326897855042514,6.86064468300543,False
cum,0.015,Lf,hold1,182,-4.587969395190073,-0.7998836367812264,0.46153846153846156,-0.8979482078621397,-7.992314559119575,-4.125346973632144,False
cum,0.015,Lf,hold2,182,-1.078954284031518,-0.14936641101404838,0.5,0.5160443942762221,-8.570212439414254,4.083232332156094,False
cum,0.015,Lf,hold4,182,-3.4242249965083884,-0.37765056060324553,0.4945054945054945,6.916686087273951,-8.310062846969853,-5.96458597028704,False
cum,0.015,Lf,holdEOD,182,-0.023496843338957452,-0.002022829232012688,0.5384615384615384,9.323563158850112,-6.069990890913241,-0.9758709406478117,False
cum,0.015,Lf,trail05,182,-4.087693155916156,-0.5033016563138246,0.46153846153846156,5.514034769801909,-3.7944544946014775,-10.427811680901893,False
