ticker,date,label,phrase,cik,name
VTGN,2023-08-07,pos,met its primary endpoint,0001411685,"Vistagen Therapeutics, Inc."
ZLAB,2023-08-07,pos,positive topline results,0001704292,Zai Lab Ltd
CAPR,2023-08-07,pos,met its primary endpoint,0001133869,"CAPRICOR THERAPEUTICS, INC."
ARQT,2023-08-08,pos,positive topline results,0001787306,"Arcutis Biotherapeutics, Inc."
DERM,2023-08-08,pos,positive topline results,0001867066,Journey Medical Corp
HALO,2023-08-08,pos,met its primary endpoint,0001159036,"HALOZYME THERAPEUTICS, INC."
ABOS,2023-08-08,pos,positive topline results,0001576885,"Acumen Pharmaceuticals, Inc."
CGTX,2023-08-08,pos,positive topline results,0001455365,COGNITION THERAPEUTICS INC
MGNX,2023-08-09,pos,met its primary endpoint,0001125345,MACROGENICS INC
ADAP,2023-08-09,pos,met its primary endpoint,0001621227,Adaptimmune Therapeutics PLC
LPCN,2023-08-10,pos,positive topline results,0001535955,Lipocine Inc.
URGN,2023-08-10,pos,positive topline results,0001668243,UroGen Pharma Ltd.
SGMT,2023-08-10,pos,positive topline results,0001400118,Sagimet Biosciences Inc.
MLTX,2023-08-10,pos,met its primary endpoint,0001821586,MoonLake Immunotherapeutics
VERA,2023-08-10,pos,met its primary endpoint,0001831828,"Vera Therapeutics, Inc."
ACHV,2023-08-14,pos,positive topline results,0000949858,"ACHIEVE LIFE SCIENCES, INC."
BTAI,2023-08-14,pos,positive topline results,0001720893,"BioXcel Therapeutics, Inc."
CTXR,2023-08-15,pos,positive topline results,0001506251,"Citius Pharmaceuticals, Inc."
GLTO,2023-08-15,neg,did not meet its primary endpoint,0001800315,"Galecto, Inc."
SGMT,2023-08-21,pos,positive topline results,0001400118,Sagimet Biosciences Inc.
AKBA,2023-08-25,pos,positive topline results,0001517022,"Akebia Therapeutics, Inc."
FGEN,2023-08-29,neg,did not meet its primary endpoint,0000921299,FIBROGEN INC
INSM,2023-09-05,pos,positive topline results,0001104506,INSMED Inc
AVTX,2023-09-11,neg,did not meet its primary endpoint,0001534120,"Avalo Therapeutics, Inc."
NBIX,2023-09-12,pos,met its primary endpoint,0000914475,NEUROCRINE BIOSCIENCES INC
TSVT,2023-09-13,pos,met its primary endpoint,0001860782,"2seventy bio, Inc."
DNTH,2023-09-21,pos,positive topline results,0001690585,"Dianthus Therapeutics, Inc. /DE/"
NRBO,2023-09-22,pos,positive topline results,0001638287,"NeuroBo Pharmaceuticals, Inc."
IONS,2023-09-26,pos,positive topline results,0000874015,IONIS PHARMACEUTICALS INC
SGMT,2023-09-27,pos,positive topline results,0001400118,Sagimet Biosciences Inc.
SNDX,2023-10-02,pos,met its primary endpoint,0001395937,Syndax Pharmaceuticals Inc
VTGN,2023-10-02,pos,positive topline results,0001411685,"Vistagen Therapeutics, Inc."
NBIX,2023-10-05,pos,met its primary endpoint,0000914475,NEUROCRINE BIOSCIENCES INC
ANAB,2023-10-10,pos,met its primary endpoint,0001370053,"ANAPTYSBIO, INC"
CDTX,2023-10-13,pos,positive topline results,0001610618,"Cidara Therapeutics, Inc."
MLTX,2023-10-16,pos,met its primary endpoint,0001821586,MoonLake Immunotherapeutics
SGMT,2023-10-23,pos,positive topline results,0001400118,Sagimet Biosciences Inc.
INSM,2023-10-26,pos,positive topline results,0001104506,INSMED Inc
ABBV,2023-10-27,pos,positive topline results,0001551152,AbbVie Inc.
PFE,2023-10-31,pos,positive topline results,0000078003,PFIZER INC
INCY,2023-10-31,pos,met its primary endpoint,0000879169,INCYTE CORP
INVA,2023-11-01,pos,met its primary endpoint,0001080014,"Innoviva, Inc."
EXEL,2023-11-01,pos,met its primary endpoint,0000939767,"EXELIXIS, INC."
SNDX,2023-11-02,pos,met its primary endpoint,0001395937,Syndax Pharmaceuticals Inc
ALNY,2023-11-02,pos,positive topline results,0001178670,"ALNYLAM PHARMACEUTICALS, INC."
PTGX,2023-11-02,pos,positive topline results,0001377121,"Protagonist Therapeutics, Inc"
ARQT,2023-11-03,pos,positive topline results,0001787306,"Arcutis Biotherapeutics, Inc."
CLDX,2023-11-06,pos,positive topline results,0000744218,"Celldex Therapeutics, Inc."
KOD,2023-11-06,pos,met its primary endpoint,0001468748,Kodiak Sciences Inc.
MLTX,2023-11-06,pos,positive topline results,0001821586,MoonLake Immunotherapeutics
AQST,2023-11-06,pos,positive topline results,0001398733,"Aquestive Therapeutics, Inc."
HALO,2023-11-06,pos,positive topline results,0001159036,"HALOZYME THERAPEUTICS, INC."
CRNX,2023-11-07,pos,positive topline results,0001658247,"Crinetics Pharmaceuticals, Inc."
MRSN,2023-11-07,neg,did not meet its primary endpoint,0001442836,"Mersana Therapeutics, Inc."
DNLI,2023-11-07,neg,did not meet its primary endpoint,0001714899,Denali Therapeutics Inc.
ZLAB,2023-11-07,neg,did not meet its primary endpoint,0001704292,Zai Lab Ltd
DERM,2023-11-07,pos,positive topline results,0001867066,Journey Medical Corp
TVTX,2023-11-07,pos,positive topline results,0001438533,"Travere Therapeutics, Inc."
ADAP,2023-11-08,pos,met its primary endpoint,0001621227,Adaptimmune Therapeutics PLC
LPCN,2023-11-08,pos,positive topline results,0001535955,Lipocine Inc.
VERA,2023-11-09,pos,met its primary endpoint,0001831828,"Vera Therapeutics, Inc."
ABOS,2023-11-13,pos,positive topline results,0001576885,"Acumen Pharmaceuticals, Inc."
OCUP,2023-11-13,pos,met its primary endpoint,0001228627,"Ocuphire Pharma, Inc."
MLTX,2023-11-14,pos,met its primary endpoint,0001821586,MoonLake Immunotherapeutics
KOD,2023-11-14,pos,met its primary endpoint,0001468748,Kodiak Sciences Inc.
URGN,2023-11-14,pos,met its primary endpoint,0001668243,UroGen Pharma Ltd.
SWTX,2023-11-17,pos,positive topline results,0001773427,"SpringWorks Therapeutics, Inc."
TSVT,2023-11-20,pos,met its primary endpoint,0001860782,"2seventy bio, Inc."
ROIV,2023-11-27,neg,did not meet its primary endpoint,0001635088,Roivant Sciences Ltd.
